taskname,category
15 Kitchen Equipment Final Connect,FF&E + Millwork
15 L-HVAC,Construction
15 L-Plumbing,Construction
15 M-HVAC,Construction
15 M-Plumbing,Construction
15 Mech Matl/Methods,Construction
15 Mechanical,Construction
15 Mechanical Exp,Construction
"15 Mechanical, all",Construction
15 Mechanical; all,Construction
15 Permit Expediter/Code Consultant,Soft Costs
15 Pipe Testing,Construction
15 Piping & Fittings,Construction
15 Plumbing,Construction
15 Plumbing (Item 13 Gilbane GMP 2221006),Construction
15 Plumbing (Rough and Finish),Construction
15 Plumbing Fixtures & Equipment,FF&E + Millwork
15 Plumbing Repair-BMR,Construction
15 Process Piping,Construction
15 Production Piping,Construction
15 Service Piping,Construction
15 Test/Balancing,Construction
1512 Oakwood U,Construction
1513 - Oakwood Down,Uncategorized
1515 Brookhaven D,Construction
1516 Oakwood D,Construction
1517 Oakwood D,Construction
1521 Brookhaven U,Construction
1523 Oakwood U,Construction
1526,Uncategorized
1532 Oakwood U,Construction
1533,Uncategorized
1534,Uncategorized
1535 Brookhaven U,Construction
15: Glass & Storefronts,Construction
16 Comm DataCbl/Wire,Construction
16 Communications,Construction
"16 Elec, Equipment Disconnect",FF&E + Millwork
16 Electrical,Construction
16 Electrical Exp,Construction
16 Electrical Mat/Met,Construction
16 Electrical Materials/Methods,Construction
16 Electrical Power,Construction
16 Electrical Power (Item 10 Gilbane GMP 2221006),Construction
16 Electrical Repair-BMR,Construction
"16 Electrical, all",Construction
"16 Electrical, all (Item 13 Gilbane GMP 2221006)",Construction
16 Electrical-BM,Construction
16 Electrical-LHI,Construction
16 Electrical; all,Construction
16 Electrical| all,Construction
16 Fire Protect Elec,Construction
16 General Elec,Construction
16 IT/ Voice,Construction
16 L-Electrical,Construction
16 Lifesafety,Construction
16 Lifesafety (Allowance/Contingency),Construction
16 Lifesafety/Security,FF&E + Millwork
16 Lighting,Construction
16 Lighting Fixtures,FF&E + Millwork
16 Low-Voltage Distribution,Construction
16 M-Electrical,Construction
16 Move,FF&E + Millwork
16 Security Cable/Wire,FF&E + Millwork
16 Security Equip,FF&E + Millwork
16 Software Basic,Construction
16 Software Custom,Construction
16 Video Equipment,FF&E + Millwork
1611 Hillsborough D,Construction
1612 Rialto D,Construction
1613 Rialto D,Construction
1616 Rialto D,Construction
1617 Rialto U,Construction
1622 Rialto U,Construction
1623 Rialto - U,Construction
1631 Hillsborough U,Construction
1633 Rialto U,Construction
1634 Hillsborough U,Construction
1636 Rialto U,Construction
1638 Hillsborough U,Construction
16: Drywall,Construction
184th & E68 Grading/1st Street Coordination,Uncategorized
18: Overhead & Profit,Uncategorized
1A Construction Howe Street,Construction
1B Construction Sam's Walk,Construction
1Construction,Construction
1b Bldg Construction-BM,Construction
1b Bldg Construction-LHI,Construction
1c Bldg Construction-BM,Construction
1d Bldg Construction-LHI,Construction
1e Bldg Construction-LHI,Construction
1st Floor Decom,FF&E + Millwork
1x1 Oakwood - B Spec Modern Farm - Unit 1222,Uncategorized
1x1 Oakwood - Upgrade Cozy Class - unit 812,Uncategorized
1x1 Rialto - B Spec Modern Farm - unit 532,Uncategorized
1x1 Rialto - Upgrade Cozy Class- unit 212,Uncategorized
2 Ballast/Pavement,Construction
2 Demo (Decomm)-BMR,FF&E + Millwork
2 Demolition,Construction
"2 Demolition, Interio",Construction
"2 Demolition, Interior",Construction
2 Demolition-BM,Construction
2 Demolition-LHI,Construction
2 Demolition| Interior,Construction
2 Earthwork,FF&E + Millwork
2 Earthwrk&SiteImprv,FF&E + Millwork
2 Fuel Farm,Construction
2 GL Insurance,Soft Costs
2 General Use Exp,Construction
